page,level,name_zh,name_en,poisoning_chapter19,accidental,intentional_self_harm,undetermined_intent,treatment_adverse_effect
1646,0,氯甲苯海拉明-现译名,Chlorphenoxamine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1646,0,氯甲苯噻嗪-现译名二氮嗪,Diazoxide,T46.5,X44.-,X64.-,Y14.-,Y52.5
1646,0,氯甲苯心安-现译名布拉洛尔,Bupranolol,T44.7,X43.-,X63.-,Y13.-,Y51.7
1646,0,氯甲酚(消毒防腐剂),Chlorocresol,T49.0,X44.-,X64.-,Y14.-,Y56.0
1646,0,氯甲磷(杀虫药),Chlormephos,T60.0,X48.-,X68.-,Y18.-,
1646,0,氯甲桥萘-现译名艾氏剂,Aldrin,T60.1,X48.-,X68.-,Y18.-,
1646,0,氯甲西林(抗生素),Clometocillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1646,0,氯甲西泮(催眠药),Lormetazepam,T42.4,X41.-,X61.-,Y11.-,Y47.1
1646,0,氯洁霉素 - 现译名 克林霉素,Clindamycin,T36.8,X44.-,X64.-,Y14.-,Y40.8
1646,0,氯卡帕明(抗抑郁药),Clocapramine,T43.0,X41.-,X61.-,Y11.-,Y49.0
1646,0,氯康唑(抗真菌药),Croconazole,T37.8,X44.-,X64.-,Y14.-,Y41.8
1646,0,氯喹(抗疟药),Chloroquine,T37.2,X44.-,X64.-,Y14.-,Y41.2
1646,0,氯喹那多(消毒防腐剂),Chlorquinaldol,T49.0,X44.-,X64.-,Y14.-,Y56.0
1646,0,氯拉扎尼[氯苯三嗪胺](利尿剂),Chlorazanil,T50.2,X44.-,X64.-,Y14.-,Y54.5
1646,0,氯雷他啶,Loratidine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1646,0,氯联苯,Chlorodiphenyl,T53.7,X49.-,X69.-,Y19.-,
1646,0,氯林肯霉素-现译名克林霉素,Clindamycin,T36.8,X44.-,X64.-,Y14.-,Y40.8
1646,0,氯硫磷(杀虫药),Chlorthion,T60.0,X48.-,X68.-,Y18.-,
1646,0,氯马克仑(抗抑郁药),Clomacran,T43.0,X41.-,X61.-,Y11.-,Y49.0
1646,0,氯马斯汀[克立马丁](抗组胺药),Clemastine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1646,0,氯霉素,Chloramphenicol,T36.2,X44.-,X64.-,Y14.-,Y40.2
1646,0,氯美噻唑(镇静催眠药),Chlormethiazole,T42.6,X41.-,X61.-,Y11.-,Y47.8
1646,0,氯美辛(抗炎镇痛药),Clometacin,T39.3,X40.-,X60.-,Y10.-,Y45.3
1646,0,氯美扎酮[芬那露][非脑乐],Chlormezanone,T42.6,X41.-,X61.-,Y11.-,Y47.8
1646,0,氯米芬[克罗米酚](抗不育药),Clomifene,T38.5,X44.-,X64.-,Y14.-,Y42.5
